[description:"Test and symlink .shell" end:"1613214730" entry:"1576338074" modified:"1613214734" project:"shell" status:"deleted" uuid:"74ffc3c1-ef4c-48bc-82d6-ea0d4c2978bb"]
[description:"Test and symlink .vim" end:"1613214734" entry:"1576338081" modified:"1613214734" project:"shell" status:"deleted" uuid:"68d48f2e-d7cb-4643-ab1a-bccfc0c67048"]
[description:"Test and symlink bin" end:"1613214734" entry:"1576338148" modified:"1613214734" project:"shell" status:"deleted" uuid:"f1b1e487-c2f4-4d37-b1fe-16c854ae4e37"]
[description:"Test and symlink polybar" end:"1613214734" entry:"1576338190" modified:"1613214734" project:"shell" status:"deleted" uuid:"66755d27-02ab-41f0-aaed-64aaafbfca48"]
[description:"Look over email, setup time to push dev changes" end:"1613214689" entry:"1575517768" modified:"1613214694" priority:"M" project:"onemission" status:"deleted" uuid:"3b67283d-362d-4a48-a6ba-67c5c3bc805e"]
[description:"Push dev changes to live, ensure database settings are consistent" end:"1613214694" entry:"1575517780" modified:"1613214694" priority:"M" project:"onemission" status:"deleted" uuid:"d53abe68-5ba3-4629-8fa6-dd1f2917bb88"]
[description:"Investigate fundraiser admin update sluggishness" end:"1613214694" entry:"1575517813" modified:"1613214694" priority:"M" project:"onemission" status:"deleted" uuid:"2c7ed222-b082-4900-b688-400aefb78e61"]
[description:"Begin migration of site to kinsta" end:"1613214694" entry:"1575517838" modified:"1613214694" priority:"M" project:"onemission" status:"deleted" uuid:"3d7277c7-8533-4dd8-879e-8dfe40c11493"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1576711894" end:"1610605521" entry:"1576625494" mask:"++++XXXX+XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" modified:"1610605532" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"471d3813-fb32-44e7-8bdf-6a94c26685fa"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1576711939" end:"1610605532" entry:"1576625539" mask:"+XX+XXX++XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" modified:"1610605537" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1576711946" end:"1610605537" entry:"1576625546" mask:"+XXXXXXX+X+XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" modified:"1610605541" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1576798339" end:"1610605534" entry:"1576871003" imask:"1.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"4b184e64-dece-4b7c-9ef3-471be0d6961b"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1576884739" end:"1610605534" entry:"1576871003" imask:"2.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"ed0017b2-a9cf-4f10-9c64-1422436b7d2b"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1576798346" end:"1610605538" entry:"1576871003" imask:"1.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" status:"deleted" uuid:"6522e0b1-d5e7-44bc-95ac-2585f5c4c5d4"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1576884746" end:"1610605538" entry:"1576871003" imask:"2.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" status:"deleted" uuid:"dd0ffffb-c205-4327-8b43-eb5fbf24b24a"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577057494" end:"1610605530" entry:"1577234494" imask:"4.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"49a78b70-8635-43ce-b343-53e080cd6319"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577143894" end:"1610605530" entry:"1577234494" imask:"5.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"c1ebcbe4-18bf-472d-990f-b31789b3886f"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577230294" end:"1610605530" entry:"1577234494" imask:"6.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"b6d55d67-714e-4582-b0dc-ebe5ceb5978e"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577316694" end:"1610605530" entry:"1577234494" imask:"7.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"ea5d7730-5308-470f-a132-cda5b6485ee1"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577057539" end:"1610605534" entry:"1577234494" imask:"4.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"34956042-f816-414d-b441-c237e763f7dc"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577143939" end:"1610605534" entry:"1577234494" imask:"5.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"153d1f9e-6f8d-40b3-ad7b-e3c66589d0f6"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577230339" end:"1610605534" entry:"1577234494" imask:"6.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8b56aa99-3ea7-405e-9136-e347e01e17a2"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1576971146" end:"1610605538" entry:"1577234494" imask:"3.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"279e21f9-e9dc-440b-b67e-f6ba8ee93549"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577057546" end:"1610605538" entry:"1577234494" imask:"4.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8c343354-e160-4de5-bc4d-64f4fae1de2f"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577143946" end:"1610605538" entry:"1577234494" imask:"5.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"55d5ebaf-f116-4077-af94-ee195047bb56"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577230346" end:"1610605538" entry:"1577234494" imask:"6.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"aa22b68b-039c-4047-87c9-abbd89adb0a1"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577316746" end:"1610605538" entry:"1577234494" imask:"7.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8a1e74f0-e1b2-465f-bc44-a4a5e0a6d376"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577489494" end:"1610605530" entry:"1577403111" imask:"9.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"12ff7212-e80a-4ed5-be1a-a181e19629ce"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577489539" end:"1610605534" entry:"1577403141" imask:"9.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"1d0da29c-08c2-4df3-b47a-11eeebceae2e"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577489546" end:"1610605538" entry:"1577403171" imask:"9.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"cd81bb9c-5ef4-438c-aef6-247a1ebe37cf"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577575894" end:"1610605530" entry:"1577499619" imask:"10.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"4d669072-2ea8-4db9-93b5-7d5acd0a57aa"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577575939" end:"1610605534" entry:"1577499619" imask:"10.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"0237c433-3e1e-4747-9571-64ef74bfcb9e"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577662294" end:"1610605530" entry:"1577575895" imask:"11.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"940ca62f-1700-4004-9d96-c9f57f6f8c22"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577662339" end:"1610605534" entry:"1577575955" imask:"11.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"141135b9-52a4-45ff-91dc-8c45854f60a2"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577662346" end:"1610605538" entry:"1577575955" imask:"11.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"beb6fd19-0bd8-463e-981f-e35dd2d14639"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577748694" end:"1610605530" entry:"1577662306" imask:"12.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8a1e161e-ef11-485c-9774-467cba6aea55"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577748739" end:"1610605534" entry:"1577662368" imask:"12.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8729787c-2b66-4c1e-b52d-b3cb093f4e75"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577748746" end:"1610605538" entry:"1577662368" imask:"12.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"26af0c6e-8173-47d5-a836-adb306151872"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577835094" end:"1610605530" entry:"1577815742" imask:"13.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"de44742f-6b6e-49b9-b446-061ec7572cad"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577835139" end:"1610605534" entry:"1577815742" imask:"13.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"60a82373-2a73-4187-b2ae-891588be11c3"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577835146" end:"1610605538" entry:"1577815742" imask:"13.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"1ed49c34-379d-497d-af3f-292a17587a9d"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1577921494" end:"1610605530" entry:"1577835095" imask:"14.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"9d49a25e-6de4-4317-8254-3b7883313bb7"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1577921539" end:"1610605534" entry:"1577835155" imask:"14.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"8a3820b6-7c14-4588-a33d-282cd1f0fe94"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1577921546" end:"1610605538" entry:"1577835155" imask:"14.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"9a9b1dfd-4570-44b3-aac7-55373bf5fb38"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578007894" end:"1610605530" entry:"1577921513" imask:"15.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"98a15d50-d0e5-48c9-b358-cf7d60a1e5ce"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578007939" end:"1610605534" entry:"1577921544" imask:"15.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"a0826735-401b-40c0-a93b-e3470049cad5"]
